dataset,udonpred_id,sequence_length,valid_annotated_residues,match_mode,n_human_matches,human_accessions,human_genes,example_human_header
plddt,DP03823,1212,1212,sequence,1,P55011,SLC12A2,sp|P55011|S12A2_HUMAN Solute carrier family 12 member 2 OS=Homo sapiens OX=9606 GN=SLC12A2 PE=1 SV=1
plddt,DP03829,326,326,sequence,1,Q00534,CDK6,sp|Q00534|CDK6_HUMAN Cyclin-dependent kinase 6 OS=Homo sapiens OX=9606 GN=CDK6 PE=1 SV=1
plddt,DP03835,501,501,sequence,1,P14868,DARS1,"sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2"
plddt,DP03839,391,391,sequence,1,Q92785,DPF2,sp|Q92785|REQU_HUMAN Zinc finger protein ubi-d4 OS=Homo sapiens OX=9606 GN=DPF2 PE=1 SV=2
plddt,DP03860,189,189,sequence,1,P01116,KRAS,sp|P01116|RASK_HUMAN GTPase KRas OS=Homo sapiens OX=9606 GN=KRAS PE=1 SV=1
plddt,DP03864,360,360,sequence,1,P28482,MAPK1,sp|P28482|MK01_HUMAN Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3
plddt,DP03877,548,548,sequence,1,O43776,NARS1,"sp|O43776|SYNC_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1"
plddt,DP03882,189,189,sequence,1,P01111,NRAS,sp|P01111|RASN_HUMAN GTPase NRas OS=Homo sapiens OX=9606 GN=NRAS PE=1 SV=1
plddt,DP03908,136,136,sequence,1,P84243,H3-3A,sp|P84243|H33_HUMAN Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2
plddt,DP03964,512,512,sequence,1,P47895,ALDH1A3,sp|P47895|AL1A3_HUMAN Retinaldehyde dehydrogenase 3 OS=Homo sapiens OX=9606 GN=ALDH1A3 PE=1 SV=2
plddt,DP03965,563,563,sequence,1,P30038,ALDH4A1,"sp|P30038|AL4A1_HUMAN Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH4A1 PE=1 SV=3"
plddt,DP03966,539,539,sequence,1,P49419,ALDH7A1,sp|P49419|AL7A1_HUMAN Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=5
disprot,DP02732,1684,61,sequence,1,Q8IWJ2,GCC2,sp|Q8IWJ2|GCC2_HUMAN GRIP and coiled-coil domain-containing protein 2 OS=Homo sapiens OX=9606 GN=GCC2 PE=1 SV=4
disprot,DP03749,262,258,sequence,1,Q92871,PMM1,sp|Q92871|PMM1_HUMAN Phosphomannomutase 1 OS=Homo sapiens OX=9606 GN=PMM1 PE=1 SV=2
disprot,DP03758,819,340,sequence,1,Q96ST2,IWS1,sp|Q96ST2|IWS1_HUMAN Protein IWS1 homolog OS=Homo sapiens OX=9606 GN=IWS1 PE=1 SV=2
disprot,DP03814,230,230,sequence,1,Q9BU02,THTPA,sp|Q9BU02|THTPA_HUMAN Thiamine-triphosphatase OS=Homo sapiens OX=9606 GN=THTPA PE=1 SV=3
disprot,DP03888,95,95,sequence,1,P61956,SUMO2,sp|P61956|SUMO2_HUMAN Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3
disprot,DP03897,198,198,sequence,1,Q9UII6,DUSP13B,sp|Q9UII6|DS13B_HUMAN Dual specificity protein phosphatase 13B OS=Homo sapiens OX=9606 GN=DUSP13B PE=1 SV=3
disprot,DP03931,854,64,sequence,1,Q9NRI5,DISC1,sp|Q9NRI5|DISC1_HUMAN Disrupted in schizophrenia 1 protein OS=Homo sapiens OX=9606 GN=DISC1 PE=1 SV=3
disprot,DP03988,136,136,sequence,1,Q86WX3,RPS19BP1,sp|Q86WX3|AROS_HUMAN Active regulator of SIRT1 OS=Homo sapiens OX=9606 GN=RPS19BP1 PE=1 SV=1
disprot,DP03990,394,333,sequence,1,Q92597,NDRG1,sp|Q92597|NDRG1_HUMAN Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1
disprot,DP04022,236,236,sequence,1,Q6BDI9,REP15,sp|Q6BDI9|REP15_HUMAN Rab15 effector protein OS=Homo sapiens OX=9606 GN=REP15 PE=1 SV=4
disprot,DP04027,337,332,sequence,1,P37837,TALDO1,sp|P37837|TALDO_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2
disprot,DP04030,596,442,sequence,1,P41743,PRKCI,sp|P41743|KPCI_HUMAN Protein kinase C iota type OS=Homo sapiens OX=9606 GN=PRKCI PE=1 SV=2
disprot,DP04032,887,466,sequence,1,Q6ZT98,TTLL7,sp|Q6ZT98|TTLL7_HUMAN Tubulin polyglutamylase TTLL7 OS=Homo sapiens OX=9606 GN=TTLL7 PE=1 SV=2
disprot,DP04033,190,124,sequence,1,O15431,SLC31A1,sp|O15431|COPT1_HUMAN High affinity copper uptake protein 1 OS=Homo sapiens OX=9606 GN=SLC31A1 PE=1 SV=1
disprot,DP04056,719,361,sequence,1,Q96NI6,LRFN5,sp|Q96NI6|LRFN5_HUMAN Leucine-rich repeat and fibronectin type-III domain-containing protein 5 OS=Homo sapiens OX=9606 GN=LRFN5 PE=1 SV=2
disprot,DP04062,1507,1155,sequence,1,Q9Y4B6,DCAF1,sp|Q9Y4B6|DCAF1_HUMAN DDB1- and CUL4-associated factor 1 OS=Homo sapiens OX=9606 GN=DCAF1 PE=1 SV=3
disprot,DP04118,181,157,sequence,1,O43665,RGS10,sp|O43665|RGS10_HUMAN Regulator of G-protein signaling 10 OS=Homo sapiens OX=9606 GN=RGS10 PE=1 SV=3
disprot,DP04125,114,114,sequence,1,P06702,S100A9,sp|P06702|S10A9_HUMAN Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1
disprot,DP04131,399,303,sequence,1,Q5TDH0,DDI2,sp|Q5TDH0|DDI2_HUMAN Protein DDI1 homolog 2 OS=Homo sapiens OX=9606 GN=DDI2 PE=1 SV=1
disprot,DP04132,230,190,sequence,1,Q9NZC2,TREM2,sp|Q9NZC2|TREM2_HUMAN Triggering receptor expressed on myeloid cells 2 OS=Homo sapiens OX=9606 GN=TREM2 PE=1 SV=1
disprot,DP04133,317,299,sequence,1,P02649,APOE,sp|P02649|APOE_HUMAN Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1
disprot,DP04139,2285,2073,sequence,1,O14497,ARID1A,sp|O14497|ARI1A_HUMAN AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3
disprot,DP04141,287,124,sequence,1,Q96E09,PABIR1,sp|Q96E09|PBIR1_HUMAN PPP2R1A-PPP2R2A-interacting phosphatase regulator 1 OS=Homo sapiens OX=9606 GN=PABIR1 PE=1 SV=1
disprot,DP04145,422,362,sequence,1,P21579,SYT1,sp|P21579|SYT1_HUMAN Synaptotagmin-1 OS=Homo sapiens OX=9606 GN=SYT1 PE=1 SV=1
disprot,DP04149,898,888,sequence,1,P51788,CLCN2,sp|P51788|CLCN2_HUMAN Chloride channel protein 2 OS=Homo sapiens OX=9606 GN=CLCN2 PE=1 SV=2
disprot,DP04155,1068,458,sequence,1,P28749,RBL1,sp|P28749|RBL1_HUMAN Retinoblastoma-like protein 1 OS=Homo sapiens OX=9606 GN=RBL1 PE=1 SV=3
disprot,DP04156,665,371,sequence,1,Q96B97,SH3KBP1,sp|Q96B97|SH3K1_HUMAN SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=SH3KBP1 PE=1 SV=2
disprot,DP04157,725,516,sequence,1,O00418,EEF2K,sp|O00418|EF2K_HUMAN Eukaryotic elongation factor 2 kinase OS=Homo sapiens OX=9606 GN=EEF2K PE=1 SV=2
disprot,DP04158,1292,205,sequence,1,Q9BX66,SORBS1,sp|Q9BX66|SRBS1_HUMAN Sorbin and SH3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SORBS1 PE=1 SV=3
disprot,DP04164,1247,219,sequence,1,O94885,SASH1,sp|O94885|SASH1_HUMAN SAM and SH3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SASH1 PE=1 SV=3
disprot,DP04167,355,355,sequence,1,Q8N6T7,SIRT6,sp|Q8N6T7|SIR6_HUMAN NAD-dependent protein deacylase sirtuin-6 OS=Homo sapiens OX=9606 GN=SIRT6 PE=1 SV=2
disprot,DP04169,593,453,sequence,1,O00499,BIN1,sp|O00499|BIN1_HUMAN Myc box-dependent-interacting protein 1 OS=Homo sapiens OX=9606 GN=BIN1 PE=1 SV=1
disprot,DP04171,378,179,sequence,1,Q92784,DPF3,sp|Q92784|DPF3_HUMAN Zinc finger protein DPF3 OS=Homo sapiens OX=9606 GN=DPF3 PE=1 SV=3
disprot,DP04173,548,548,sequence,1,Q9BUR4,WRAP53,sp|Q9BUR4|TCAB1_HUMAN Telomerase Cajal body protein 1 OS=Homo sapiens OX=9606 GN=WRAP53 PE=1 SV=1
disprot,DP04177,100,100,sequence,1,P05114,HMGN1,sp|P05114|HMGN1_HUMAN Non-histone chromosomal protein HMG-14 OS=Homo sapiens OX=9606 GN=HMGN1 PE=1 SV=3
disprot,DP04178,1132,1131,sequence,1,O14746,TERT,sp|O14746|TERT_HUMAN Telomerase reverse transcriptase OS=Homo sapiens OX=9606 GN=TERT PE=1 SV=1
disprot,DP04179,316,264,sequence,1,P30519,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2
disprot,DP04180,199,111,sequence,1,O60232,ZNRD2,sp|O60232|ZNRD2_HUMAN Protein ZNRD2 OS=Homo sapiens OX=9606 GN=ZNRD2 PE=1 SV=1
disprot,DP04182,314,157,sequence,1,Q99453,PHOX2B,sp|Q99453|PHX2B_HUMAN Paired mesoderm homeobox protein 2B OS=Homo sapiens OX=9606 GN=PHOX2B PE=1 SV=2
disprot,DP04188,655,587,sequence,1,P49748,ACADVL,"sp|P49748|ACADV_HUMAN Very long-chain acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1"
disprot,DP04189,298,215,sequence,1,P29372,MPG,sp|P29372|3MG_HUMAN DNA-3-methyladenine glycosylase OS=Homo sapiens OX=9606 GN=MPG PE=1 SV=3
disprot,DP04211,441,441,sequence,1,Q9BZV1,UBXN6,sp|Q9BZV1|UBXN6_HUMAN UBX domain-containing protein 6 OS=Homo sapiens OX=9606 GN=UBXN6 PE=1 SV=1
disprot,DP04217,1053,161,sequence,1,Q2KHT3,CLEC16A,sp|Q2KHT3|CL16A_HUMAN Protein CLEC16A OS=Homo sapiens OX=9606 GN=CLEC16A PE=1 SV=2
disprot,DP04219,338,335,sequence,1,O95433,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1
disprot,DP04220,585,69,sequence,1,Q9H4H8,FAM83D,sp|Q9H4H8|FA83D_HUMAN Protein FAM83D OS=Homo sapiens OX=9606 GN=FAM83D PE=1 SV=3
disprot,DP04237,135,79,sequence,1,Q8N5K1,CISD2,sp|Q8N5K1|CISD2_HUMAN CDGSH iron-sulfur domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CISD2 PE=1 SV=1
disprot,DP04239,1430,345,sequence,1,P53355,DAPK1,sp|P53355|DAPK1_HUMAN Death-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=DAPK1 PE=1 SV=6
disprot,DP04242,191,191,sequence,1,P45973,CBX5,sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1
disprot,DP04244,109,109,sequence,1,P40205,MYCNOS,sp|P40205|NCYM_HUMAN N-cym protein OS=Homo sapiens OX=9606 GN=MYCNOS PE=1 SV=2
disprot,DP04251,514,514,sequence,1,O60832,DKC1,sp|O60832|DKC1_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3
disprot,DP04252,153,153,sequence,1,Q9NX24,NHP2,sp|Q9NX24|NHP2_HUMAN H/ACA ribonucleoprotein complex subunit 2 OS=Homo sapiens OX=9606 GN=NHP2 PE=1 SV=1
disprot,DP04253,217,217,sequence,1,Q9NY12,GAR1,sp|Q9NY12|GAR1_HUMAN H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1
disprot,DP04257,577,404,sequence,1,Q9NZI8,IGF2BP1,sp|Q9NZI8|IF2B1_HUMAN Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2
disprot,DP04258,739,612,sequence,1,Q15022,SUZ12,sp|Q15022|SUZ12_HUMAN Polycomb protein SUZ12 OS=Homo sapiens OX=9606 GN=SUZ12 PE=1 SV=3
disprot,DP04259,299,299,sequence,1,Q9H9Q4,NHEJ1,sp|Q9H9Q4|NHEJ1_HUMAN Non-homologous end-joining factor 1 OS=Homo sapiens OX=9606 GN=NHEJ1 PE=1 SV=1
disprot,DP04260,543,24,sequence,1,P07196,NEFL,sp|P07196|NFL_HUMAN Neurofilament light polypeptide OS=Homo sapiens OX=9606 GN=NEFL PE=1 SV=3
disprot,DP04261,173,173,sequence,1,P02489,CRYAA,sp|P02489|CRYAA_HUMAN Alpha-crystallin A chain OS=Homo sapiens OX=9606 GN=CRYAA PE=1 SV=2
disprot,DP04262,205,192,sequence,1,P04792,HSPB1,sp|P04792|HSPB1_HUMAN Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2
disprot,DP04263,351,331,sequence,1,P18848,ATF4,sp|P18848|ATF4_HUMAN Cyclic AMP-dependent transcription factor ATF-4 OS=Homo sapiens OX=9606 GN=ATF4 PE=1 SV=3
disprot,DP04264,713,713,sequence,1,Q5SWA1,PPP1R15B,sp|Q5SWA1|PR15B_HUMAN Protein phosphatase 1 regulatory subunit 15B OS=Homo sapiens OX=9606 GN=PPP1R15B PE=1 SV=2
disprot,DP04267,197,195,sequence,1,Q9NPD8,UBE2T,sp|Q9NPD8|UBE2T_HUMAN Ubiquitin-conjugating enzyme E2 T OS=Homo sapiens OX=9606 GN=UBE2T PE=1 SV=1
disprot,DP04270,57,57,sequence,1,Q8WXC6,COPS9,sp|Q8WXC6|CSN9_HUMAN COP9 signalosome complex subunit 9 OS=Homo sapiens OX=9606 GN=COPS9 PE=1 SV=3
disprot,DP04271,267,243,sequence,1,P02647,APOA1,sp|P02647|APOA1_HUMAN Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1
disprot,DP04274,537,522,sequence,1,Q9Y2G2,CARD8,sp|Q9Y2G2|CARD8_HUMAN Caspase recruitment domain-containing protein 8 OS=Homo sapiens OX=9606 GN=CARD8 PE=1 SV=2
disprot,DP04276,665,581,sequence,1,Q13613,MTMR1,sp|Q13613|MTMR1_HUMAN Phosphatidylinositol-3-phosphate phosphatase MTMR1 OS=Homo sapiens OX=9606 GN=MTMR1 PE=1 SV=4
disprot,DP04277,521,518,sequence,1,Q8N465,D2HGDH,"sp|Q8N465|D2HDH_HUMAN D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=D2HGDH PE=1 SV=3"
disprot,DP04278,257,179,sequence,1,Q9UMY1,NOL7,sp|Q9UMY1|UTP16_HUMAN U3 small nucleolar RNA-associated protein NOL7 OS=Homo sapiens OX=9606 GN=NOL7 PE=1 SV=2
disprot,DP04281,136,136,sequence,1,P68431,H3C1,sp|P68431|H31_HUMAN Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2
disprot,DP04284,302,302,sequence,1,Q8TDX7,NEK7,sp|Q8TDX7|NEK7_HUMAN Serine/threonine-protein kinase Nek7 OS=Homo sapiens OX=9606 GN=NEK7 PE=1 SV=1
disprot,DP04285,544,151,sequence,1,Q9UK59,DBR1,sp|Q9UK59|DBR1_HUMAN Lariat debranching enzyme OS=Homo sapiens OX=9606 GN=DBR1 PE=1 SV=2
disprot,DP04286,179,155,sequence,1,Q8TAP9,MPLKIP,sp|Q8TAP9|MPLKI_HUMAN M-phase-specific PLK1-interacting protein OS=Homo sapiens OX=9606 GN=MPLKIP PE=1 SV=1
disprot,DP04287,124,124,sequence,1,O14907,TAX1BP3,sp|O14907|TX1B3_HUMAN Tax1-binding protein 3 OS=Homo sapiens OX=9606 GN=TAX1BP3 PE=1 SV=2
disprot,DP04295,518,511,sequence,1,Q9Y572,RIPK3,sp|Q9Y572|RIPK3_HUMAN Receptor-interacting serine/threonine-protein kinase 3 OS=Homo sapiens OX=9606 GN=RIPK3 PE=1 SV=2
disprot,DP04297,139,121,sequence,1,Q9NPJ4,PNRC2,sp|Q9NPJ4|PNRC2_HUMAN Proline-rich nuclear receptor coactivator 2 OS=Homo sapiens OX=9606 GN=PNRC2 PE=1 SV=1
disprot,DP04298,671,660,sequence,1,Q13546,RIPK1,sp|Q13546|RIPK1_HUMAN Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=RIPK1 PE=1 SV=3
disprot,DP04299,540,423,sequence,1,O43353,RIPK2,sp|O43353|RIPK2_HUMAN Receptor-interacting serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=RIPK2 PE=1 SV=2
disprot,DP04300,837,806,sequence,1,Q9UBB9,TFIP11,sp|Q9UBB9|TFP11_HUMAN Tuftelin-interacting protein 11 OS=Homo sapiens OX=9606 GN=TFIP11 PE=1 SV=1
disprot,DP04309,196,189,sequence,1,Q9UJY1,HSPB8,sp|Q9UJY1|HSPB8_HUMAN Heat shock protein beta-8 OS=Homo sapiens OX=9606 GN=HSPB8 PE=1 SV=1
disprot,DP04324,332,74,sequence,1,Q969S2,NEIL2,sp|Q969S2|NEIL2_HUMAN Endonuclease 8-like 2 OS=Homo sapiens OX=9606 GN=NEIL2 PE=1 SV=3
disprot,DP04347,303,172,sequence,1,P28360,MSX1,sp|P28360|MSX1_HUMAN Homeobox protein MSX-1 OS=Homo sapiens OX=9606 GN=MSX1 PE=1 SV=3
disprot,DP04348,576,45,sequence,1,Q96PD5,PGLYRP2,sp|Q96PD5|PGRP2_HUMAN N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1
disprot,DP04349,240,115,sequence,1,Q8N114,SHISA5,sp|Q8N114|SHSA5_HUMAN Protein shisa-5 OS=Homo sapiens OX=9606 GN=SHISA5 PE=1 SV=1
disprot,DP04388,417,242,sequence,1,Q86VY4,TSPYL5,sp|Q86VY4|TSYL5_HUMAN Testis-specific Y-encoded-like protein 5 OS=Homo sapiens OX=9606 GN=TSPYL5 PE=1 SV=2
